Host Name,IP Address,Temperature (F),Timestamp,,,
Bay01_Proj1,10.51.0.19,75.2,2024-08-23 14:18:26,,,
Bay01_Proj2,10.51.0.20,75.2,2024-08-23 14:18:26,,,
Bay01_Proj3,10.51.0.21,77,2024-08-23 14:18:27,,,
Bay01_Proj4,10.51.0.22,80.6,2024-08-23 14:18:27,,,
Bay02_Proj1,10.51.0.33,69.8,2024-08-23 14:18:28,,,
Bay02_Proj2,10.51.0.34,68,2024-08-23 14:18:28,,,
Bay02_Proj3,10.51.0.35,71.6,2024-08-23 14:18:29,,,
Bay02_Proj4,10.51.0.36,75.2,2024-08-23 14:18:29,,,
Bay03_Proj1,10.51.0.47,69.8,2024-08-23 14:18:30,,,
Bay03_Proj2,10.51.0.48,82.4,2024-08-23 14:18:30,,,
Bay03_Proj3,10.51.0.49,69.8,2024-08-23 14:18:31,,,
Bay03_Proj4,10.51.0.50,77,2024-08-23 14:18:31,,,
Bay04_Proj1,10.51.0.61,66.2,2024-08-23 14:18:32,,,
Bay04_Proj2,10.51.0.62,69.8,2024-08-23 14:18:32,,,
Bay04_Proj3,10.51.0.63,71.6,2024-08-23 14:18:33,,,
Bay04_Proj4,10.51.0.64,69.8,2024-08-23 14:18:33,,,
Bay05_Proj1,10.51.0.75,73.4,2024-08-23 14:18:34,,,
Bay05_Proj2,10.51.0.76,75.2,2024-08-23 14:18:35,,,
Bay05_Proj3,10.51.0.77,71.6,2024-08-23 14:18:35,,,
Bay05_Proj4,10.51.0.78,75.2,2024-08-23 14:18:36,,,
Bay06_Proj1,10.51.0.89,66.2,2024-08-23 14:18:36,,,
Bay06_Proj2,10.51.0.90,73.4,2024-08-23 14:18:37,,,
Bay06_Proj3,10.51.0.91,69.8,2024-08-23 14:18:37,,,
Bay06_Proj4,10.51.0.92,68,2024-08-23 14:18:38,,,
Bay07_Proj1,10.51.0.103,68,2024-08-23 14:18:38,,,
Bay07_Proj2,10.51.0.104,73.4,2024-08-23 14:18:39,,,
Bay07_Proj3,10.51.0.105,73.4,2024-08-23 14:18:39,,,
Bay07_Proj4,10.51.0.106,77,2024-08-23 14:18:40,,,
Bay08_Proj1,10.51.0.117,62.6,2024-08-23 14:18:40,,,
Bay08_Proj2,10.51.0.118,75.2,2024-08-23 14:18:41,,,
Bay08_Proj3,10.51.0.119,68,2024-08-23 14:18:41,,,
Bay08_Proj4,10.51.0.120,64.4,2024-08-23 14:18:42,,,
Bay01_Proj1,10.51.0.19,75.2,2024-08-23 14:24:06,,,
Bay01_Proj2,10.51.0.20,75.2,2024-08-23 14:24:07,,,
Bay01_Proj3,10.51.0.21,77,2024-08-23 14:24:07,,,
Bay01_Proj4,10.51.0.22,80.6,2024-08-23 14:24:08,,,
Bay02_Proj1,10.51.0.33,69.8,2024-08-23 14:24:09,,,
Bay02_Proj2,10.51.0.34,68,2024-08-23 14:24:09,,,
Bay02_Proj3,10.51.0.35,71.6,2024-08-23 14:24:10,,,
Bay02_Proj4,10.51.0.36,75.2,2024-08-23 14:24:10,,,
Bay03_Proj1,10.51.0.47,69.8,2024-08-23 14:24:11,,,
Bay03_Proj2,10.51.0.48,82.4,2024-08-23 14:24:11,,,
Bay03_Proj3,10.51.0.49,69.8,2024-08-23 14:24:12,,,
Bay03_Proj4,10.51.0.50,77,2024-08-23 14:24:12,,,
Bay04_Proj1,10.51.0.61,66.2,2024-08-23 14:24:13,,,
Bay04_Proj2,10.51.0.62,69.8,2024-08-23 14:24:13,,,
Bay04_Proj3,10.51.0.63,71.6,2024-08-23 14:24:14,,,
Bay04_Proj4,10.51.0.64,69.8,2024-08-23 14:24:14,,,
Bay05_Proj1,10.51.0.75,73.4,2024-08-23 14:24:15,,,
Bay05_Proj2,10.51.0.76,75.2,2024-08-23 14:24:15,,,
Bay05_Proj3,10.51.0.77,71.6,2024-08-23 14:24:16,,,
Bay05_Proj4,10.51.0.78,75.2,2024-08-23 14:24:16,,,
Bay06_Proj1,10.51.0.89,66.2,2024-08-23 14:24:17,,,
Bay06_Proj2,10.51.0.90,73.4,2024-08-23 14:24:17,,,
Bay06_Proj3,10.51.0.91,69.8,2024-08-23 14:24:18,,,
Bay06_Proj4,10.51.0.92,68,2024-08-23 14:24:19,,,
Bay07_Proj1,10.51.0.103,68,2024-08-23 14:24:19,,,
Bay07_Proj2,10.51.0.104,73.4,2024-08-23 14:24:20,,,
Bay07_Proj3,10.51.0.105,73.4,2024-08-23 14:24:20,,,
Bay07_Proj4,10.51.0.106,77,2024-08-23 14:24:21,,,
Bay08_Proj1,10.51.0.117,62.6,2024-08-23 14:24:21,,,
Bay08_Proj2,10.51.0.118,75.2,2024-08-23 14:24:22,,,
Bay08_Proj3,10.51.0.119,68,2024-08-23 14:24:22,,,
Bay08_Proj4,10.51.0.120,64.4,2024-08-23 14:24:23,,,
Bay01_Proj1,10.51.0.19,75.2,2024-08-23 14:24:30,,,
Bay01_Proj2,10.51.0.20,75.2,2024-08-23 14:24:30,,,
Bay01_Proj3,10.51.0.21,77,2024-08-23 14:24:31,,,
Bay01_Proj4,10.51.0.22,80.6,2024-08-23 14:24:31,,,
Bay02_Proj1,10.51.0.33,69.8,2024-08-23 14:24:32,,,
Bay02_Proj2,10.51.0.34,68,2024-08-23 14:24:32,,,
Bay02_Proj3,10.51.0.35,71.6,2024-08-23 14:24:33,,,
Bay02_Proj4,10.51.0.36,75.2,2024-08-23 14:24:33,,,
Bay03_Proj1,10.51.0.47,69.8,2024-08-23 14:24:34,,,
